ts_code,trade_date,close,open,high,low,vol,amount
000015.SH,20210409,2769.93,2738.1,2783.16,2730.58,8188427200.0,58232013359.0
000015.SH,20210402,2733.02,2733.36,2770.93,2718.1,13733180100.0,96654141106.0
000015.SH,20210326,2718.14,2725.53,2760.47,2670.3,12125670600.0,88606801370.0
000015.SH,20210319,2725.79,2731.43,2765.53,2709.93,14698476300.0,109217401076.0
000015.SH,20210312,2729.95,2707.99,2735.72,2630.49,17632173700.0,131337578696.0
000015.SH,20210305,2691.8,2636.29,2745.12,2635.09,18840244500.0,144475243877.0
000015.SH,20210226,2629.76,2667.48,2736.49,2624.92,20870796300.0,166677979535.0
000015.SH,20210219,2661.55,2571.83,2663.14,2571.83,7798274000.0,60811321764.0
000015.SH,20210210,2535.13,2491.96,2538.23,2485.5,9492504700.0,73111932625.0
000015.SH,20210205,2490.71,2483.61,2514.29,2457.67,13719630500.0,108515927417.0
000015.SH,20210129,2483.5,2570.64,2570.64,2470.4,11980828400.0,101290034383.0
000015.SH,20210122,2580.69,2585.95,2623.47,2574.06,15178359900.0,131635852050.0
000015.SH,20210115,2584.91,2577.65,2596.62,2540.26,16885870300.0,144927017525.0
000015.SH,20210108,2578.94,2589.21,2599.94,2551.39,14748253800.0,134559023963.0
000015.SH,20201231,2594.99,2618.27,2620.82,2572.45,8663518000.0,76912796590.0
000015.SH,20201225,2615.92,2677.76,2685.4,2592.34,10538919000.0,89240149417.0
000015.SH,20201218,2670.55,2657.49,2685.06,2602.87,11522835300.0,92338211805.0
000015.SH,20201211,2669.44,2752.52,2757.55,2613.79,11553072100.0,94814887469.0
000015.SH,20201204,2748.29,2809.75,2831.65,2730.02,16949548800.0,134683237346.0
000015.SH,20201127,2807.0,2790.87,2843.1,2767.58,14102390800.0,122343870898.0
000015.SH,20201120,2787.75,2724.87,2794.95,2720.2,11393704800.0,112168438265.0
000015.SH,20201113,2714.05,2685.34,2737.03,2685.34,11991217700.0,111043116833.0
000015.SH,20201106,2669.74,2549.51,2670.37,2544.51,9755480800.0,100896542848.0
000015.SH,20201030,2543.82,2556.39,2583.05,2519.97,9246808000.0,85655648734.0
000015.SH,20201023,2558.61,2606.18,2628.19,2554.79,10669495100.0,84596786869.0
000015.SH,20201016,2599.04,2582.95,2621.96,2580.98,10773956300.0,89805220006.0
000015.SH,20201009,2575.21,2567.73,2585.72,2563.98,1494272500.0,14049158853.0
000015.SH,20200930,2537.42,2546.79,2562.29,2528.01,4212971800.0,34731811348.0
000015.SH,20200925,2539.56,2637.56,2638.65,2531.05,7037529500.0,60786651575.0
